,PubYear,lemmatized_Abstract,lemmatized_Title,text
25,1987,paper deal numerical computation bulk arrival model singleserver first develop find root unit circle characteristic equation model root use calculate moment steady state distribution number customer system pre arrival epoch result use compute distribution random variable post departure random epoch unify method use easton extend application special case interarrival time distribution deterministic uniform case wherex give arbitrary distribution also improve various root finding method use several previous author high value parameter particular large batch size investigate well,computational analysis singleserver bulk arrival singleserver,paper deal numerical computation bulk arrival model singleserver first develop find root unit circle characteristic equation model root use calculate moment steady state distribution number customer system pre arrival epoch result use compute distribution random variable post departure random epoch unify method use easton extend application special case interarrival time distribution deterministic uniform case wherex give arbitrary distribution also improve various root finding method use several previous author high value parameter particular large batch size investigate well computational analysis singleserver bulk arrival singleserver
26,1987,give finite number empty singleserver let customer arrive accord arbitrary arrival process serve exactly fix order process depart customer network law order visit remarkable result due give simple probabilistic proof,probabilistic proof series,give finite number empty singleserver let customer arrive accord arbitrary arrival process serve exactly fix order process depart customer network law order visit remarkable result due give simple probabilistic proof probabilistic proof series
27,1987,paper consider singleserver system poisson input general service waiting room allow maximum customer wait time minimum customer require service server go vacation find less customer wait room service server return vacation find less customer wait begin vacation immediately use theory regenerative process derive expression time dependent system size probabilitie arbitrary epoch,transient solution finite capacity system vacation server,paper consider singleserver system poisson input general service waiting room allow maximum customer wait time minimum customer require service server go vacation find less customer wait room service server return vacation find less customer wait begin vacation immediately use theory regenerative process derive expression time dependent system size probabilitie arbitrary epoch transient solution finite capacity system vacation server
29,1987,infinite server consider customer choice individual service batch service transient result obtain first moment system size distribution wait time distribution important system evaluation steady state result obtain,service system multiserver impatient customer,infinite server consider customer choice individual service batch service transient result obtain first moment system size distribution wait time distribution important system evaluation steady state result obtain service system multiserver impatient customer
30,1987,sokolov procedure describe use obtain explicit easily apply approximation wait time distribution fifo singleserver,approximation wait time singleserver system,sokolov procedure describe use obtain explicit easily apply approximation wait time distribution fifo singleserver approximation wait time singleserver system
31,1987,compound poisson arrival phase type service exhaustive service discipline study algorithmic method develop compute steady state probability distribution number customer system unlimited limited capacity example different model parameter give show computational efficiency method appendix stochastic decomposition property single arrival exhaustive service discipline extend group arrival,group arrival exhaustive service discipline,compound poisson arrival phase type service exhaustive service discipline study algorithmic method develop compute steady state probability distribution number customer system unlimited limited capacity example different model parameter give show computational efficiency method appendix stochastic decomposition property single arrival exhaustive service discipline extend group arrival group arrival exhaustive service discipline
32,1987,consider state dependent singleserver arrival rate function instantaneous unfinished work work backlog system customer exponential service time distribution allow depend unfinished work system instant customer arrive obtain asymptotic approximation busy period distribution well residual busy period distribution approximation valid system rapid arrival rate small mean service time,busy period distribution state dependent,consider state dependent singleserver arrival rate function instantaneous unfinished work work backlog system customer exponential service time distribution allow depend unfinished work system instant customer arrive obtain asymptotic approximation busy period distribution well residual busy period distribution approximation valid system rapid arrival rate small mean service time busy period distribution state dependent
33,1987,consider multiserver sequence nonnegative time stationary ergodic service iid exponentially distribute possible soman batch arrival include caser uniquely determine stationary process number customer system construct extend correspond result loyne brandt withe,stationary length distribution multiserver,consider multiserver sequence nonnegative time stationary ergodic service iid exponentially distribute possible soman batch arrival include caser uniquely determine stationary process number customer system construct extend correspond result loyne brandt withe stationary length distribution multiserver
34,1987,consider model item wait undergo group testing batch sizem however few thanm item present begin service item test singly ifm item wait group sizem test group pass test allm item leave system group find contain least defective item item reteste individually develop compute many steady state probability related comparison probability use assess effect group sizem behavior item wait testing,statistical group testing involve,consider model item wait undergo group testing batch sizem however few thanm item present begin service item test singly ifm item wait group sizem test group pass test allm item leave system group find contain least defective item item reteste individually develop compute many steady state probability related comparison probability use assess effect group sizem behavior item wait testing statistical group testing involve
35,1987,note multiserver batch arrival constant sizek investigate show stationary probability arrive batch customer system compute term correspond binomial moment formula determine recursive relation generalize well know result takcs multiserver furthermore relation batch arrival time stationary probability give,multiserver batch arrival constant size,note multiserver batch arrival constant sizek investigate show stationary probability arrive batch customer system compute term correspond binomial moment formula determine recursive relation generalize well know result takcs multiserver furthermore relation batch arrival time stationary probability give multiserver batch arrival constant size
36,1987,consider singleserver arrival service process modulate state markov chain assume arrival rate service time density rate markov chain switch state function total unfinished work buffer content compute asymptotic approximation performance measure mean residual busy period mean length busy period mean time reach capacity,modulate singleserver busy period time buffer overflow,consider singleserver arrival service process modulate state markov chain assume arrival rate service time density rate markov chain switch state function total unfinished work buffer content compute asymptotic approximation performance measure mean residual busy period mean length busy period mean time reach capacity modulate singleserver busy period time buffer overflow
37,1987,network finite infinite source customer use study interaction batch job interactive job computer system early kaufman develop accurate approximation simple nonproductform network type paper offer exact solution model finite source customer study fifo lifo discipline contention node result derive case source think time service time distribution generalize,exact solution simple finite infinite source interaction model,network finite infinite source customer use study interaction batch job interactive job computer system early kaufman develop accurate approximation simple nonproductform network type paper offer exact solution model finite source customer study fifo lifo discipline contention node result derive case source think time service time distribution generalize exact solution simple finite infinite source interaction model
38,1987,serial correlation coefficient useful measure interdependence successive waiting time potential application include development linear predictor determine simulation run length paper present calculate correlation multiserver exponential service relate known result singleserver,serial correlation coefficient wait time stationary multiserver,serial correlation coefficient useful measure interdependence successive waiting time potential application include development linear predictor determine simulation run length paper present calculate correlation multiserver exponential service relate known result singleserver serial correlation coefficient wait time stationary multiserver
39,1987,model involve multiprocessor system different group processor examine first model processor break time time group use entirely inoperative second model breakdown replace stream job group processor use preference case analysis base find polynomial variable satisfie partial differential functional equation exact solution obtain,multiprocessor system reserve preference,model involve multiprocessor system different group processor examine first model processor break time time group use entirely inoperative second model breakdown replace stream job group processor use preference case analysis base find polynomial variable satisfie partial differential functional equation exact solution obtain multiprocessor system reserve preference
40,1987,consider important class singleserver bulk model singleserver poisson arrival customer group batch service time exponential density class compare system prove congested basic random variable stochastically order appropriate manner however recognize system appear congested customer work efficiently system manager point view apply result comparison family singleserver system poisson input customer batch service time vary service capacity family system exponential customer service time density group arrival vary group size family multiserver system poisson arrival constant service time vary number server family find system good customer turn bad manager vice versa also establish upper low bound expect length steady state expect number batches group serve busy period approach paper base stochastic comparison random walk underlie model,stochastic comparison bulk,consider important class singleserver bulk model singleserver poisson arrival customer group batch service time exponential density class compare system prove congested basic random variable stochastically order appropriate manner however recognize system appear congested customer work efficiently system manager point view apply result comparison family singleserver system poisson input customer batch service time vary service capacity family system exponential customer service time density group arrival vary group size family multiserver system poisson arrival constant service time vary number server family find system good customer turn bad manager vice versa also establish upper low bound expect length steady state expect number batches group serve busy period approach paper base stochastic comparison random walk underlie model stochastic comparison bulk
41,1987,note complete monotonicity wait time density multiserver prove assumption service time density completely monotone extension keilson result singleserver also provide proof result complete monotonicity preserve geometric compounding,complete monotonicity wait time density multiserver system,note complete monotonicity wait time density multiserver prove assumption service time density completely monotone extension keilson result singleserver also provide proof result complete monotonicity preserve geometric compounding complete monotonicity wait time density multiserver system
44,1987,administration network abstraction network node represent separate administration link alternately route call administration cost group circuit pair administration borne call pair alternately route node administration share call revenue pay transit fee administration number circuit administration select yield least cost network provide desire level service term block probability entire day address problem determine transit charge alternately route call equitable administration approach derive charge equate system circuit group size certain hypothetical administration group size approach system design problem involve cost sharing several company,equitable transit charge network,administration network abstraction network node represent separate administration link alternately route call administration cost group circuit pair administration borne call pair alternately route node administration share call revenue pay transit fee administration number circuit administration select yield least cost network provide desire level service term block probability entire day address problem determine transit charge alternately route call equitable administration approach derive charge equate system circuit group size certain hypothetical administration group size approach system design problem involve cost sharing several company equitable transit charge network
45,1988,paper give overview aspect simulation methodology extent peculiar simulation system generalize semi markov process framework describe system use much paper main topic cover output analysis simulation transient steady state quantity variance reduction method exploit structure gradient estimation method performance parameter associate queuenetwork,simulation method overview,paper give overview aspect simulation methodology extent peculiar simulation system generalize semi markov process framework describe system use much paper main topic cover output analysis simulation transient steady state quantity variance reduction method exploit structure gradient estimation method performance parameter associate queuenetwork simulation method overview
46,1988,problem large sample estimation test parameter singleserver discuss service time interarrivai time density assume belong positive exponential family system observe continuous time interval wheret determine suitable stopping rule limit distribution estimate obtain unified setting impose ergodicity condition length process generalize linear model particular log linear model consider several independent observed mean service time mean interarrival time appropriate transformation assume satisfy linear model involve unknown parameter interest know covariate model enhance scope usefulness standard system,large sample inference singleserver,problem large sample estimation test parameter singleserver discuss service time interarrivai time density assume belong positive exponential family system observe continuous time interval wheret determine suitable stopping rule limit distribution estimate obtain unified setting impose ergodicity condition length process generalize linear model particular log linear model consider several independent observed mean service time mean interarrival time appropriate transformation assume satisfy linear model involve unknown parameter interest know covariate model enhance scope usefulness standard system large sample inference singleserver
47,1988,recently complex function technique develop analysis system need model dimensional state space variety computer communication network give rise dimensional system analysis need performance evaluation aggregate present study review development,boundary value problem theory,recently complex function technique develop analysis system need model dimensional state space variety computer communication network give rise dimensional system analysis need performance evaluation aggregate present study review development boundary value problem theory
48,1988,present framework represent arrival epoch chain hrmc input mark point process govern hrmc dynamic formulate general recursion input include case iid regenerative markov modulate markov renewal output well hrmc regenerative regenerative structure example consider split match tandem general skip forward network case iid input show existence regeneration point open network general service interarrivai time distribution,markov chain,present framework represent arrival epoch chain hrmc input mark point process govern hrmc dynamic formulate general recursion input include case iid regenerative markov modulate markov renewal output well hrmc regenerative regenerative structure example consider split match tandem general skip forward network case iid input show existence regeneration point open network general service interarrivai time distribution markov chain
49,1988,close form expression wait time distribution fcfs derive system multiserver mgen class mix generalize erlang probability density function ordern subset coxian pdfs rational laptransform use calculus difference equation base previous result author prove wait time distribution form present approach offer qualitative insight provide exact asymptotic expression generalize unifie well know theory develop singleserver multiserver system lead parameterss orm vary exponential parameter vary example numerical result wait time distribution multiserver system present,exact fcfs wait time analysis general class multiserver system,close form expression wait time distribution fcfs derive system multiserver mgen class mix generalize erlang probability density function ordern subset coxian pdfs rational laptransform use calculus difference equation base previous result author prove wait time distribution form present approach offer qualitative insight provide exact asymptotic expression generalize unifie well know theory develop singleserver multiserver system lead parameterss orm vary exponential parameter vary example numerical result wait time distribution multiserver system present exact fcfs wait time analysis general class multiserver system
