DOI,Title,Abstract,PubYear,Publication Date (print),Volume,Issue,Pagination,Authors Affiliations,Research Organizations - standardized,Times cited,Recent citations,Altmetric,SN Downloads
10.1007/bf01182931,Processor-sharing queues: Some progress in analysis,This paper reviews some recent results based on new techniques used in the analysis of main processor-sharing queueing systems. These results include the solutions of the problems of determining the sojourn time distributions and the distributions of the number of jobs in the M/G/1/t8 queue under egalitarian and feedback (foreground-background) processor-sharing disciplines. A brief discussion of some related results is also given.,1987,1987-03,2,1,17-Jan,"Yashkov, S. F. (Russian Academy of Sciences)",Russian Academy of Sciences,129,2,,552
10.1007/bf01182933,Transient behavior of the M/M/l queue: Starting at the origin,"This paper presents some new perspectives on the time-dependent behavior of the M/M/1 queue. The factorial moments of the queue length as functions of time when the queue starts empty have interesting structure, which facilitates developing approximations. Simple exponential and hyperexponential approximations for the first two moment functions help show how the queue approaches steady state as time evolves. These formulas also help determine if steady-state descriptions are reasonable when the arrival and service rates are nearly constant over some interval but the process does not start in steady state.",1987,1987-03,2,1,41-65,,,88,10,3,270
10.1007/bf01150668,A subjective Bayesian approach to the theory of queues I — Modeling,"This is the first of an expository two-part paper which outlines a point of view different from that currently used in queueing theory. In both parts, the focus is on concepts. Here we adopt a personal probability point of view to all sources of uncertainty in the theory of queues and explore the consequences of our approach by comparing our results to those that are currently available. For ease of exposition, we confine attention to the M/M/1/∞ and the M/M/1/K queues. In Part I we outline the general strategy and focus on model development. In Part II we address the problem of inference in queues within the subjective Bayesian paradigm and introduce a use of Shannon's measure of information for assessing the amount of information conveyed by the various types of data from queues.",1987,1987-05,1,4,317-333,"Mcgrath, Michael F. (Office of the Secretary of Defense); Gross, Donald (George Washington University); Singpurwalla, Nozer D. (George Washington University; George Washington University)",Office of the Secretary of Defense; George Washington University,48,11,,155
10.1007/bf01150669,A subjective Bayesian approach to the theory of queues II — Inference and information in M/M/1 queues,This is a sequel to Part I of “A Subjective Bayesian Approach to the Theory of Queues”. The focus here is on inference and a use of Shannon's measure of information for assessing the amount of information conveyed by the various types of data from queues. The notation and terminology used here is established in Part I.,1987,1987-05,1,4,335-353,"McGrath, Michael F. (Office of the Secretary of Defense); Singpurwalla, Nozer D. (George Washington University)",Office of the Secretary of Defense; George Washington University,44,9,,101
10.1007/bf01149536,Statistical analysis of queueing systems,"This paper provides an overview of the literature on statistical analysis of queueing systems. Topics discussed include: model identification, estimation, hypothesis testing and other related aspects. Not all of these statistical problems are covered in books on queueing theory or stochastic processes. The bibliography is not exhaustive, but comprehensive enough to provide sources from the literature.",1987,1987-03,1,3,217-247,"Bhat, U. Narayan (Southern Methodist University); Rao, S. Subba (Washington State University)",Washington State University; Southern Methodist University,43,3,,344
10.1007/bf01158902,"A two-queue, one-server model with priority for the longer queue","The queueing model studied consists of one server and two queues. Each queue has its own Poisson arrival stream and service time distribution. After a service completion, the server proceeds with a customer from the longer queue, if the queues are unequal; if the queues are equal, the server chooses with some probability a customer from one of the queues. The model is of practical interest in performance analysis, but also of theoretical interest because the functional equation to be solved has not yet been studied in the queueing literature. A basic analysis of this functional equation is presented. Some numerical results are given to assess the influence of the present service discipline. Some new properties of L.S. transforms of service time distributions are discussed in the appendix.",1987,1987-09,2,3,261-283,"Cohen, J. W. (Utrecht University)",Utrecht University,32,2,3,254
10.1007/bf01158396,Polling and greedy servers on a line,"A single server moves with speed υ on a line interval (or a circle) of length (circumference)L. Customers, requiring service of constant durationb, arrive on the interval (or circle) at random at mean rate λ customers per unit length per unit time. A customer's mean wait for service depends partly on the rules governing the server's motion. We compare two different servers: thepolling server and thegreedy server. Without knowing the locations of waiting customers, a polling server scans endlessly back and forth across the interval (or clockwise around the circle), stopping only where it encounters a waiting customer. Knowing where customers are waiting, a greedy server always travels toward the current nearest one. Except for certain extreme values of υ,L, b, andλ, the polling and greedy servers are roughly equally effective. Indeed, the simpler polling server is often the better. Theoretical results show, in most cases, that the polling server has a high probability of moving toward the nearest customer, i.e. moving as a greedy server would. The greedy server is difficult to analyze, but was simulated on a computer.",1987,1987-06,2,2,115-145,"Coffman, E. G. (Nokia (United States)); Gilbert, E. N. (Nokia (United States))",Nokia (United States),32,1,,69
10.1007/bf01158395,"Computational analysis of steady-state probabilities of M/Ga,b/1 and related nonbulk queues","In their book, Chaudhry and Templeton  present a unified approach to many problems on bulk queues. Using their analytical approach, we show how to numerically evaluate steady-state probabilities and moments for number in system (or queue) at each of three time epochs — postdeparture, prearrival and random � for several bulk and nonbulk queues. The approach can be used for other problems in queueing theory, and for similar problems in the theories of dams, inventories, etc. The present study extends the computational results available in tables, such as those produced by Hillier and Yu , and has several potential applications. The method proposed is computationally efficient, accurate, and stable. It accommodates high values of the queueing parameters. Sample numerical results and graphs are also presented.",1987,1987-06,2,2,93-114,"Chaudhry, M. L. (Royal Military College of Canada); Madill, B. R. (Royal Military College of Canada); Brière, G. (Royal Military College of Canada)",Royal Military College of Canada,31,0,,141
10.1007/bf01149540,An approximate analysis for a class of assembly-like queues,"Assembly-like queues model assembly operations where separate input processes deliver different types of component (customer) and the service station assembles (serves) these input requests only when the correct mix of components (customers) is present at the input. In this work, we develop an effective approximate analytical solution for an assembly-like queueing system withN(N ⩾ 2) classes of customers formingN independent Poisson arrival streams with rates {λi=1,...,N} The arrival of a class of customers is “turned off” whenever the number of customers of that class in the system exceeds the number for any of the other classes by a certain amount. The approximation is based on the decomposition of the originalN input stream stage into a cascade ofN-1 two-input stream stages. This allows one to refer to the theory of paired customer systems as a foundation of the analysis, and makes the problem computationally tractable. Performance measures such as server utilization, throughput, average delays, etc., can then be easily computed. For illustrative purposes, the theory and techniques presented are applied to the approximate analysis of a system withN = 3. Numerical examples show that the approximation is very accurate over a wide range of parameters of interest.",1987,1987-03,1,3,289-309,"Bonomi, F. (Nokia (United States))",Nokia (United States),30,2,,61
10.1007/bf01149539,Sufficient conditions for functional-limit-theorem versions of L = λW,"The familiar queueing principle expressed by the formulaL=λW can be interpreted as a relation among strong laws of large numbers. In a previous paper, we showed that this principle can be extended to include relations among other classical limit theorems such as central limit theorems and laws of the iterated logarithm. Here we provide sufficient conditions for these limit theorems using regenerative structure.",1987,1987-03,1,3,279-287,,University of Wisconsin–Madison,30,1,,51
10.1007/bf01150045,Maintenance of an unreliable M/G/1 queue-like job shop,"This paper considers the maintenance of an unreliable M/G/1 queue-like job shop, integrating the maintenance process and the resulting queue operating characteristics. The system may breakdown, leading to unscheduled maintenance. Otherwise, preventive maintenance is done whenn jobs have been processed — whichever comes first. Using arguments from renewal theory, basic results regarding the queue-maintenance policy are established. Both an analytical and numerical example are studied in detail.",1987,1987-12,2,4,333-349,"Hsu, Lie -Fern (Baruch College); Tapiero, Charles S. (Case Western Reserve University; Hebrew University of Jerusalem)",Baruch College; Case Western Reserve University; Hebrew University of Jerusalem,23,0,,84
10.1007/bf01158397,Reduced systems in Markov chains and their applications in queueing theory,"A reduced system is a smaller system derived in the process of analyzing a larger system. While solving for steady-state probabilities of a Markov chain, generally the solution can be found by first solving a reduced system of equations which is obtained by appropriately partitioning the transition probability matrix. In this paper, we catagorize reduced systems as standard and nonstandard and explore the existence of reduced systems and their properties relative to the original system. We also discuss first passage probabilities and means for the standard reduced system relative to the original system. These properties are illustrated while determining the steady-state probabilities and first passage time characteristics of a queueing system.",1987,1987-06,2,2,147-172,"Lal, Ram (California State University, Fullerton); Narayan Bhat, U. (Southern Methodist University)","California State University, Fullerton; Southern Methodist University",19,0,,63
10.1007/bf01150670,A Markov-modulated M/G/1 queue I: Stationary distribution,"We consider an M/G/1 queueing system in which the arrival rate and service time density are functions of a two-state stochastic process. We describe the system by the total unfinished work present and allow the arrival and service rate processes to depend on the current value of the unfinished work. We employ singular perturbation methods to compute asymptotic approximations to the stationary distribution of unfinished work and in particular, compute the stationary probability of an empty queue.",1987,1987-05,1,4,355-374,"Knessl, C. (Northwestern University); Matkowsky, B. J. (Northwestern University); Schuss, Z. (Tel Aviv University); Tier, C. (University of Illinois at Chicago)",University of Illinois at Chicago; Tel Aviv University; Northwestern University,15,0,,102
10.1007/bf01158900,Comparing ordered-entry queues with heterogeneous servers,"We study a queueing system withm exponential servers with distinct service rates. Jobs arrive at the system following an arbitrary point process. Arrived jobs receive service at the first unoccupied server (if any) according to an entry order π, which is a permutation of the integers 1, 2,...,m. The system has a finite buffer capacity. When the buffer limit is reached, arrivals will be blocked. Blocked jobs will either be lost or come back as New arrivals after a random travel time. We are concerned with the dynamic stochastic behavior of the system under different entry orders. A partial ordering is established among entry orders, and is shown to result in some quite strong orderings among the associated stochastic processes that reflect the congestion and the service characteristics of the system. The results developed here complement existing comparison results for queues with homogeneous servers, and can be applied to aid the design of conveyor and communication systems.",1987,1987-09,2,3,235-244,"Shanthikumar, J. George (University of California, Berkeley); Yao, David D. (Harvard University)","University of California, Berkeley; Harvard University",14,0,,77
10.1007/bf01149537,An extension of Tanner's results on uncontrolled intersections,"A delay formula is developed for the problem, analyzed by Tanner in 1962, where two streams of traffic have conflicting demands at an intersection. The situation is such that the major stream has absolute priority and the minor stream vehicles can only enter the intersection when sufficiently large gaps appear in the major stream. This paper extends Tanner's work by considering a generalised stochastic structure on the arrival streams. The paper also links Tanner's work to other papers of this author where the utilitarian value of this generalised model has been established in a wide range of traffic problems.",1987,1987-03,1,3,249-263,,,13,1,,95
10.1007/bf01158398,Computational analysis of single-server bulk-arrival queues: GIX/M/1,"This paper deals with numerical computations for the bulk-arrival queueing model GIX/M/1. First an algorithm is developed to find the roots inside the unit circle of the characteristic equation for this model. These roots are then used to calculate both the moments and the steady-state distribution of the number of customers in the system at a pre-arrival epoch. These results are used to compute the distribution of the same random variable at post-departure and random epochs. Unifying the method used by Easton [7], we have extended its application to the special cases where the interarrival time distribution is deterministic or uniform, and to cases whereX has a given arbitrary distribution. We also improved on the various root-finding methods used by several previous authors so that high values of the parameters, in particular large batch sizes, can be investigated as well.",1987,1987-06,2,2,173-185,"Brière, G. (Royal Military College of Canada); Chaudhry, M. L. (Royal Military College of Canada)",Royal Military College of Canada,12,2,,121
10.1007/bf01150050,Probabilistic proof of the interchangeability of ./M/1 queues in series,"Given a finite number of empty ./M/1 queues, let customers arrive according to an arbitrary arrival process and be served at each queue exactly once, in some fixed order. The process of departing customers from the network has the same law, whatever the order in which the queues are visited. This remarkable result, due to R. Weber [4], is given a simple probabilistic proof.",1987,1987-12,2,4,387-392,"Anantharam, V. (Cornell University)",Cornell University,10,0,,35
10.1007/bf01150049,"Transient solution for a finite capacity M/Ga, b/1 queueing system with vacations to the server","In this paper we consider a single server queueing system with Poisson input, general service and a waiting room that allows only a maximum of � customers to wait at any time. A minimum of �customers are required to start a service and the server goes for a vacation whenever he finds less than � customers in the waiting room after a service. If the server returns from a vacation to find less than ‘a’ customers waiting, he begins another vacation immediately. Using the theory of regenerative processes we derive expressions for the time dependent system size probabilities at arbitrary epochs.",1987,1987-12,2,4,381-386,"Jacob, M. J. (Cochin University of Science and Technology); Madhusoodanan, T. P. (Cochin University of Science and Technology)",Cochin University of Science and Technology,9,0,,50
10.1007/bf01150051,A bibliography of books and survey papers on queueing systems: Theory and applications,,1987,1987-12,2,4,393-398,"Prabhu, N. U. (Cornell University)",Cornell University,9,0,,123
10.1007/bf01150047,The service system M/MR/∞ with impatient customers,An infinite server queue is considered where customers have a choice of individual service or batch service. Transient results have been obtained for the first two moments of the system size distribution. Waiting time distribution is important in system evaluation and steady state results are obtained.,1987,1987-12,2,4,363-372,"Liu, L. (University of Toronto); Kashyap, B. R. K. (University of Toronto); Templeton, J. G. C. (University of Toronto)",University of Toronto,9,1,,68
10.1007/bf01150046,Approximations for waiting time in GI/G/1 systems,The Sokolov procedure is described and used to obtain an explicit and easily applied approximation for the waiting time distribution in the FIFO GI/G/1 queue.,1987,1987-12,2,4,351-361,"Jagerman, D. (Nokia (United States))",Nokia (United States),8,0,,59
10.1007/bf01150043,Queues with group arrivals and exhaustive service discipline,"Queues with compound Poisson arrivals, phase-type service and exhaustive service discipline are studied. An algorithmic method is developed to compute the steady-state probability distribution of the number of customers in the system with unlimited or limited queue capacities. Examples with different model parameters are given to show the computational efficiency of the method. In the Appendix, the stochastic decomposition property for the queues with single arrivals and with exhaustive service discipline is extended to queues with group arrivals.",1987,1987-12,2,4,307-320,"Altiok, Tayfur (Rutgers, The State University of New Jersey)","Rutgers, The State University of New Jersey",7,0,,69
10.1007/bf01158903,Busy period distribution in state-dependent queues,"We consider a state-dependent M/M/1 queue in which the arrival rate is a function of the instantaneous unfinished work (work backlog) in the system, and the customer's exponential service time distribution is allowed to depend on the unfinished work in the system at the instant that customer arrived. We obtain asymptotic approximations to both the busy period distributions as well as the residual busy period distribution. Our approximations are valid for systems with a rapid arrival rate and small mean service times.",1987,1987-09,2,3,285-305,"Knessl, C. (Northwestern University); Matkowsky, B. J. (Northwestern University); Schuss, Z. (Tel Aviv University); Tier, C. (University of Illinois at Chicago)",Northwestern University; Tel Aviv University; University of Illinois at Chicago,7,0,,79
10.1007/bf01150044,On stationary queue length distributions for G/M/s/r queues,"Consider a G/M/s/r queue, where the sequence of nonnegative interarrival times is stationary and ergodic, and the service timesSnare i.i.d. exponentially distributed. (Since An=0 is possible for somen, batch arrivals are included.) In caser < ∞, a uniquely determined stationary process of the number of customers in the system is constructed. This extends corresponding results by Loynes [12] and Brandt [4] forr=∞ (withρ=ES0/EA0",1987,1987-12,2,4,321-332,"Brandt, A. (Humboldt-Universität zu Berlin)",Humboldt-Universität zu Berlin,6,0,,58
10.1007/bf01182932,Statistical group testing with queueing involved,"We consider a queueing model in which items wait to undergo group testing in batches of sizem. However, if fewer thanm items are present at the beginning of a service, items are tested singly. Ifm or more items are waiting at such an epoch, a group of sizem is tested and, if the group passes the test, allm items leave the system. When a group is found to contain at least one defective item, them items in it are retested individually. An algorithm is developed to compute many steady-state probabilities related to this queue. Comparisons of these probabilities are used to assess the effect of the group sizem on the behavior of the queue of items waiting for testing.",1987,1987-03,2,1,19-39,"Neuts, Marcel F. (University of Arizona); Chandramouli, Y. (University of Arizona)",University of Arizona,6,1,,33
10.1007/bf01158399,On the GI/M/∞ queue with batch arrivals of constant size,"In this note, the GI/M/� queue with batch arrivals of constant sizek is investigated. It is shown that the stationary probabilities that an arriving batch findsi customers in the system can be computed in terms of the corresponding binomial moments (Jordan's formula), which are determined by a recursive relation. This generalizes well-known results by Takács [12] for GI/M/∞. Furthermore, relations between batch arrival- and time-stationary probabilities are given.",1987,1987-06,2,2,187-200,"Brandt, A. (Humboldt-Universität zu Berlin); Sulanke, H. (Humboldt-Universität zu Berlin)",Humboldt-Universität zu Berlin,5,0,,45
10.1007/bf01150671,A Markov-modulated M/G/1 queue II: Busy period and time for buffer overflow,"We consider an M/G/1 queue where the arrival and service processes are modulated by a two state Markov chain. We assume that the arrival rate, service time density and the rates at which the Markov chain switches its state, are functions of the total unfinished work (buffer content) in the queue. We compute asymptotic approximations to performance measures such as the mean residual busy period, mean length of a busy period, and the mean time to reach capacity.",1987,1987-05,1,4,375-399,"Knessl, C. (Northwestern University); Matkowsky, B. J. (Northwestern University); Schuss, Z. (Tel Aviv University); Tier, C. (University of Illinois at Chicago)",Northwestern University; Tel Aviv University; University of Illinois at Chicago,5,0,,65
10.1007/bf01182934,Exact solution of a simple finite infinite source interaction model,"Networks of queues with finite and infinite source customers have been used to study the interaction between the batch jobs and interactive jobs in computer systems. Earlier Kaufman ([1], PP-345-348) developed accurate approximations for a simple nonproduct form network of this type. In this paper we offer exact solutions for the same model with one finite source customer. We study both FIFO and LIFO disciplines at the contention node. The results are derived for the case where the finite source think time and service time distributions are generalized hyperexponential.",1987,1987-03,2,1,67-82,"Doshi, Bharat (Nokia (United States)); Wong, Wing Shing (Nokia (United States))",Nokia (United States),5,0,,34
10.1007/bf01150048,The serial correlation coefficients for waiting times in the stationary GI/M/m queue,"Serial correlation coefficients are useful measures of the interdependence of successive waiting times. Potential applications include the development of linear predictors and determining simulation run lengths. This paper presents the algorithm for calculating such correlations in the multiserver exponential service queue, and relates it to known results for single server queues.",1987,1987-12,2,4,373-380,"Stanford, D. A. (Concordia University); Pagurek, B. (Carleton University); Woodside, C. M. (Carleton University)",Concordia University; Carleton University,2,0,,57
10.1007/bf01158901,Multiprocessor systems with reserves and preferences,"Two models involving multiprocessor systems with two different groups of processors are examined. In the first model, the processors which are in use break down from time to time; one of the two groups is used only when the other one is entirely inoperative. In the second model, the breakdowns are replaced by a Poisson stream of jobs. Again, one group of processors is used in preference to the other one. In both cases, the analysis is based on finding a polynomial in two variables which satisfies a partial differential-functional equation. Exact solutions are obtained.",1987,1987-09,2,3,245-259,"Mitrani, I. (Newcastle University)",Newcastle University,2,0,,31
10.1007/bf01149538,Stochastic comparisons for bulk queues,"We consider two important classes of single-server bulk queueing models: M(X)/G(Y)/1 with Poisson arrivals of customer groups, and G(X)/m(Y)1 with batch service times having exponential density. In each class we compare two systems and prove that one is more congested than the other if their basic random variables are stochastically ordered in an appropriate manner. However, it must be recognized that a system that appears congested to customers might be working efficiently from the system manager's point of view. We apply the results of this comparison to (i) the family {M/G(s)/1 , s ⩾ 1} of systems with Poisson input of customers and batch service times with varying service capacity; (ii) the family {G(s)/1 ,s ⩾ 1} of systems with exponential customer service time density and group arrivals with varying group size; and (iii) the family {M/D/s ,s⩾ 1} of systems with Poisson arrivals, constant service time and varying number of servers. Within each family, we find the system that is the best for customers, but this turns out to be the worst for the manager (or vice versa). We also establish upper (or lower) bounds for the expected queue length in steady state and the expected number of batches (or groups) served during a busy period. The approach of the paper is based on the stochastic comparison of random walks underlying the models.",1987,1987-03,1,3,265-277,"Prabhu, N. U. (Cornell University)",Cornell University,2,0,,72
10.1007/bf01150672,On the complete monotonicity of the waiting time density in some GI/G/k systems,In this note the complete monotonicity of the waiting time density in GI/G/k queues is proved under the assumption that the service time density is completely monotone. This is an extension of Keilson's result for M/G/1 queues. We also provide another proof of the result that complete monotonicity is preserved by geometric compounding.,1987,1987-05,1,4,401-406,"Szekli, R. (University of Wrocław)",University of Wrocław,1,1,,30
10.1007/bf01150052,Acknowledgement of referees services,,1987,1987-12,2,4,399-399,"Prabhu, N. U. ()",,0,0,,23
10.1007/bf01149541,Comments on two papers on queueing theory by J. Kiefer and J. Wolfowitz,,1987,1987-03,1,3,311-315,"Prabhu, N. U. (Cornell University)",Cornell University,0,0,,36
10.1007/bf01182935,Equitable transit charges for multiadministration telecommunications networks,"We study a multi-administration telecommunications network that is an abstraction of an international network. The nodes represent separate telecommunications administrations that are linked such that alternately-routed calls go through one tandem administration. The cost of the group of circuits between a pair of administrations is borne by them; and when a call between the pair is alternately routed through the tandem node, then the two administrations share the call revenue and pay transit fees to the tandem administration. The numbers of circuits between the administrations are selected to yield a least-cost network that provides a desired level of service, in terms of blocking probabilities, over an entire day. We address the problem of determining transit charges for the alternately-routed calls that are equitable for all of the administrations. Our approach is to derive such charges by equating the system-optimal circuit group sizes to certain hypothetical administration-optimal circuit group sizes. This approach may be of use in other system design problems involving cost sharing among several companies.",1987,1987-03,2,1,83-92,"Serfozo, Richard F. (Georgia Institute of Technology)",Georgia Institute of Technology,0,0,,24
10.1007/bf01161216,Simulation methods for queues: An overview,"This paper gives an overview of those aspects of simulation methodology that are (to some extent) peculiar to the simulation of queueing systems. A generalized semi-Markov process framework for describing queueing systems is used through much of the paper. The main topics covered are: output analysis for simulation of transient and steady-state quantities, variance reduction methods that exploit queueing structure, and gradient estimation methods for performance parameters associated with queueing networks.",1988,1988-09,3,3,221-255,"Glynn, Peter W. (Stanford University); Iglehart, Donald L. (Stanford University)",Stanford University,52,0,,178
10.1007/bf01157852,Large sample inference from single server queues,"Problems of large sample estimation and tests for the parameters in a single server queue are discussed. The service time and the interarrivai time densities are assumed to belong to (positive) exponential families. The queueing system is observed over a continuous time interval (0,T] whereT is determined by a suitable stopping rule. The limit distributions of the estimates are obtained in a unified setting, and without imposing the ergodicity condition on the queue length process. Generalized linear models, in particular, log-linear models are considered when several independent queues are observed. The mean service times and the mean interarrival times after appropriate transformations are assumed to satisfy a linear model involving unknown parameters of interest, and known covariates. These models enhance the scope and the usefulness of the standard queueing systems.",1988,1988-12,3,4,289-304,"Basawa, I. V. (University of Georgia); Prabhu, N. U. (Cornell University)",Cornell University; University of Georgia,42,7,,84
10.1007/bf01189045,Boundary value problems in queueing theory,Recently complex function techniques have been developed for the analysis of queueing systems which need for their modelling a two dimensional state space. A variety of computer- and communication networks gives rise to such two-dimensional queueing systems and their analysis is needed for the performance evaluation of these aggregates. The present study reviews these developments,1988,1988-06,3,2,97-128,"Cohen, J. W. (Utrecht University)",Utrecht University,39,3,,287
10.1007/bf01189048,Queues as Harris recurrent Markov chains,"We present a framework for representing a queue at arrival epochs as a Harris recurrent Markov chain (HRMC). The input to the queue is a marked point process governed by a HRMC and the queue dynamics are formulated by a general recursion. Such inputs include the cases of i.i.d, regenerative, Markov modulated, Markov renewal and the output from some queues as well. Since a HRMC is regenerative, the queue inherits the regenerative structure. As examples, we consider split & match, tandem, G/G/c and more general skip forward networks. In the case of i.i.d. input, we show the existence of regeneration points for a Jackson type open network having general service and interarrivai time distributions.",1988,1988-06,3,2,179-198,"Sigman, Karl (Columbia University)",Columbia University,31,2,,120
